transaction_id,payment_attempt_id,credited_amount,credit_date,bank_ref
TXN10001,ATT30001,3192.09,2026-07-04,REF90001
TXN10002,ATT30002,1241.4,2026-08-20,REF90002
TXN10003,ATT30003,3666.59,2026-08-07,REF90003
TXN10004,ATT30004,2172.71,2026-07-03,REF90004
TXN10005,ATT30005,1285.69,2026-08-11,REF90005
TXN10006,ATT30006,1127.17,2026-08-13,REF90006
TXN10007,ATT30007,2300.6,2026-07-19,REF90007
TXN10008,ATT30008,3467.27,2026-07-24,REF90008
TXN10009,ATT30009,1204.4,2026-08-20,REF90009
TXN10011,ATT30011,3024.77,2026-08-24,REF90011
TXN10012,ATT30012,2348.48,2026-07-10,REF90012
TXN10013,ATT30013,2766.89,2026-08-27,REF90013
TXN10014,ATT30014,1096.49,2026-07-14,REF90014
TXN10015,ATT30015,1329.08,2026-07-20,REF90015
TXN10017,ATT30017,3174.55,2026-07-26,REF90017
TXN10019,ATT30019,4656.35,2026-08-14,REF90019
TXN10020,ATT30020,3171.25,2026-08-05,REF90020
TXN10021,ATT30021,2361.76,2026-07-21,REF90021
TXN10022,ATT30022,1715.11,2026-08-20,REF90022
TXN10025,ATT30025,3347.09,2026-07-28,REF90025
TXN10026,ATT30026,1436.69,2026-07-20,REF90026
TXN10027,ATT30027,2935.07,2026-08-30,REF90027
TXN10028,ATT30028,1223.18,2026-07-11,REF90028
TXN10029,ATT30029,3737.41,2026-08-26,REF90029
TXN10030,ATT30030,3135.95,2026-08-24,REF90030
TXN10031,ATT30031,493.01,2026-07-29,REF90031
TXN10033,ATT30033,3573.1,2026-08-17,REF90033
TXN10034,ATT30034,1789.58,2026-07-21,REF90034
TXN10035,ATT30035,2321.75,2026-08-20,REF90035
TXN10036,ATT30036,3766.38,2026-08-05,REF90036
TXN10037,ATT30037,1594.0,2026-08-11,REF90037
TXN10038,ATT30038,1947.71,2026-07-14,REF90038
TXN10039,ATT30039,1777.21,2026-07-04,REF90039
TXN10040,ATT30040,4313.61,2026-08-25,REF90040
TXN10041,ATT30041,466.76,2026-08-27,REF90041
TXN10042,ATT30042,3625.53,2026-08-25,REF90042
TXN10043,ATT30043,3784.54,2026-07-13,REF90043
TXN10044,ATT30044,969.19,2026-08-05,REF90044
TXN10045,ATT30045,4548.83,2026-08-21,REF90045
TXN10046,ATT30046,1656.21,2026-08-15,REF90046
TXN10047,ATT30047,4411.53,2026-07-30,REF90047
TXN10048,ATT30048,1248.38,2026-08-01,REF90048
TXN10049,ATT30049,2791.35,2026-08-08,REF90049
TXN10050,ATT30050,528.0,2026-08-11,REF90050
TXN10051,ATT30051,511.17,2026-07-05,REF90051
TXN10052,ATT30052,2604.99,2026-07-20,REF90052
TXN10053,ATT30053,2722.51,2026-08-18,REF90053
TXN10054,ATT30054,3872.57,2026-08-23,REF90054
TXN10055,ATT30055,594.81,2026-08-15,REF90055
TXN10056,ATT30056,2180.48,2026-08-02,REF90056
TXN10057,ATT30057,3257.85,2026-08-12,REF90057
TXN10059,ATT30059,1093.21,2026-08-06,REF90059
TXN10060,ATT30060,2172.52,2026-07-20,REF90060
TXN10061,ATT30061,4293.75,2026-07-09,REF90061
TXN10063,ATT30063,4536.9,2026-08-25,REF90063
TXN10064,ATT30064,2100.03,2026-08-02,REF90064
TXN10065,ATT30065,4424.79,2026-07-13,REF90065
TXN10066,ATT30066,4813.14,2026-07-20,REF90066
TXN10067,ATT30067,2177.8,2026-08-18,REF90067
TXN10068,ATT30068,1085.28,2026-07-17,REF90068
TXN10069,ATT30069,3643.48,2026-07-06,REF90069
TXN10070,ATT30070,430.28,2026-08-01,REF90070
TXN10071,ATT30071,4698.19,2026-07-13,REF90071
TXN10072,ATT30072,2984.05,2026-08-15,REF90072
TXN10073,ATT30073,757.16,2026-08-29,REF90073
TXN10074,ATT30074,2981.63,2026-08-11,REF90074
TXN10075,ATT30075,3276.2,2026-08-09,REF90075
TXN10076,ATT30076,1152.58,2026-08-17,REF90076
TXN10077,ATT30077,1440.14,2026-07-12,REF90077
TXN10078,ATT30078,1677.12,2026-08-19,REF90078
TXN10079,ATT30079,2343.13,2026-08-07,REF90079
TXN10080,ATT30080,2715.03,2026-08-04,REF90080
TXN10081,ATT30081,4569.21,2026-08-27,REF90081
TXN10082,ATT30082,1927.16,2026-07-23,REF90082
TXN10083,ATT30083,3411.08,2026-08-12,REF90083
TXN10084,ATT30084,4024.82,2026-07-21,REF90084
TXN10085,ATT30085,1434.76,2026-08-29,REF90085
TXN10086,ATT30086,2788.08,2026-07-22,REF90086
TXN10087,ATT30087,1182.44,2026-07-25,REF90087
TXN10088,ATT30088,3167.77,2026-07-28,REF90088
TXN10089,ATT30089,4438.35,2026-08-25,REF90089
TXN10090,ATT30090,3168.0,2026-08-25,REF90090
TXN10091,ATT30091,211.9,2026-08-22,REF90091
TXN10092,ATT30092,4787.32,2026-07-20,REF90092
TXN10093,ATT30093,3502.55,2026-08-06,REF90093
TXN10094,ATT30094,565.3,2026-08-29,REF90094
TXN10095,ATT30095,364.14,2026-07-26,REF90095
TXN10096,ATT30096,792.59,2026-07-22,REF90096
TXN10097,ATT30097,4408.29,2026-07-17,REF90097
TXN10098,ATT30098,677.04,2026-08-23,REF90098
TXN10099,ATT30099,3707.87,2026-08-30,REF90099
TXN10100,ATT30100,4770.48,2026-08-23,REF90100
TXN10101,ATT30101,311.44,2026-08-20,REF90101
TXN10102,ATT30102,4012.41,2026-08-27,REF90102
TXN10103,ATT30103,941.4,2026-08-16,REF90103
TXN10104,ATT30104,4282.88,2026-08-26,REF90104
TXN10105,ATT30105,1130.62,2026-09-10,REF90105
TXN10106,ATT30106,1625.63,2026-08-21,REF90106
TXN10107,ATT30107,306.19,2026-07-16,REF90107
TXN10110,ATT30110,735.86,2026-07-20,REF90110
TXN10111,ATT30111,4706.41,2026-07-18,REF90111
TXN10113,ATT30113,3036.4,2026-08-04,REF90113
TXN10114,ATT30114,4411.01,2026-07-15,REF90114
TXN10115,ATT30115,3517.16,2026-07-03,REF90115
TXN10116,ATT30116,2216.66,2026-09-03,REF90116
TXN10117,ATT30117,1666.51,2026-08-27,REF90117
TXN10118,ATT30118,4413.55,2026-08-06,REF90118
TXN10119,ATT30119,2109.3,2026-07-30,REF90119
TXN10120,ATT30120,791.84,2026-07-31,REF90120
TXN10121,ATT30121,3701.58,2026-07-15,REF90121
TXN10122,ATT30122,2763.31,2026-07-04,REF90122
TXN10123,ATT30123,1180.35,2026-08-23,REF90123
TXN10124,ATT30124,2265.81,2026-08-16,REF90124
TXN10125,ATT30125,2412.96,2026-08-30,REF90125
TXN10126,ATT30126,592.69,2026-08-04,REF90126
TXN10127,ATT30127,4031.0,2026-08-26,REF90127
TXN10128,ATT30128,1650.13,2026-08-22,REF90128
TXN10129,ATT30129,309.76,2026-07-20,REF90129
TXN10130,ATT30130,4253.42,2026-07-08,REF90130
TXN10131,ATT30131,4348.36,2026-08-18,REF90131
TXN10132,ATT30132,3458.9,2026-08-03,REF90132
TXN10133,ATT30133,886.9,2026-08-15,REF90133
TXN10134,ATT30134,3843.52,2026-07-18,REF90134
TXN10135,ATT30135,2622.81,2026-07-14,REF90135
TXN10136,ATT30136,2334.59,2026-08-25,REF90136
TXN10137,ATT30137,2684.54,2026-08-08,REF90137
TXN10138,ATT30138,3001.8,2026-08-20,REF90138
TXN10139,ATT30139,2285.15,2026-07-14,REF90139
TXN10141,ATT30141,2466.46,2026-07-19,REF90141
TXN10142,ATT30142,558.42,2026-07-28,REF90142
TXN10143,ATT30143,1769.31,2026-08-28,REF90143
TXN10144,ATT30144,902.18,2026-07-28,REF90144
TXN10145,ATT30145,1198.01,2026-07-30,REF90145
TXN10146,ATT30146,2738.34,2026-07-28,REF90146
TXN10147,ATT30147,4098.81,2026-07-28,REF90147
TXN10148,ATT30148,1978.02,2026-07-04,REF90148
TXN10149,ATT30149,3726.61,2026-08-28,REF90149
TXN10150,ATT30150,3719.31,2026-08-06,REF90150
TXN10151,ATT30151,1223.65,2026-07-30,REF90151
TXN10152,ATT30152,2017.74,2026-08-16,REF90152
TXN10153,ATT30153,968.8,2026-08-02,REF90153
TXN10154,ATT30154,2698.56,2026-09-08,REF90154
TXN10155,ATT30155,2840.43,2026-07-05,REF90155
TXN10156,ATT30156,2204.06,2026-08-27,REF90156
TXN10157,ATT30157,430.95,2026-07-27,REF90157
TXN10158,ATT30158,2326.33,2026-07-25,REF90158
TXN10159,ATT30159,3719.75,2026-08-26,REF90159
TXN10160,ATT30160,4108.27,2026-08-03,REF90160
TXN10161,ATT30161,0.0,2026-07-14,REF90161
TXN10162,ATT30162,419.98,2026-07-10,REF90162
TXN10163,ATT30163,2048.32,2026-07-08,REF90163
TXN10164,ATT30164,0.0,2026-08-23,REF90164
TXN10165,ATT30165,302.85,2026-08-15,REF90165
TXN10166,ATT30166,1638.64,2026-08-15,REF90166
TXN10167,ATT30167,1014.44,2026-07-03,REF90167
TXN10168,ATT30168,1864.47,2026-08-02,REF90168
