transaction_id,ledger_entry_id,order_id,amount,date,status
TXN10001,LDG20001,ORD5001,3269.25,2026-07-02,paid
TXN10002,LDG20002,ORD5002,1271.41,2026-08-17,paid
TXN10003,LDG20003,ORD5003,3755.21,2026-08-04,paid
TXN10004,LDG20004,ORD5004,2225.22,2026-07-02,paid
TXN10005,LDG20005,ORD5005,1316.77,2026-08-08,paid
TXN10006,LDG20006,ORD5006,1154.42,2026-08-11,paid
TXN10007,LDG20007,ORD5007,2356.2,2026-07-18,paid
TXN10008,LDG20008,ORD5008,3551.07,2026-07-22,paid
TXN10009,LDG20009,ORD5009,1233.51,2026-08-18,paid
TXN10010,LDG20010,ORD5010,645.18,2026-07-07,paid
TXN10011,LDG20011,ORD5011,3097.88,2026-08-21,paid
TXN10012,LDG20012,ORD5012,2405.24,2026-07-08,paid
TXN10013,LDG20013,ORD5013,2849.8,2026-08-23,paid
TXN10014,LDG20014,ORD5014,1122.99,2026-07-05,paid
TXN10015,LDG20015,ORD5015,1293.91,2026-07-19,paid
TXN10016,LDG20016,ORD5016,4359.12,2026-07-25,paid
TXN10017,LDG20017,ORD5017,3251.29,2026-07-24,paid
TXN10018,LDG20018,ORD5018,1905.3,2026-08-12,paid
TXN10019,LDG20019,ORD5019,4695.94,2026-08-11,paid
TXN10020,LDG20020,ORD5020,3247.9,2026-08-04,paid
TXN10021,LDG20021,ORD5021,2418.85,2026-07-18,paid
TXN10022,LDG20022,ORD5022,1756.56,2026-08-19,paid
TXN10023,LDG20023,ORD5023,4144.65,2026-08-21,paid
TXN10024,LDG20024,ORD5024,1485.16,2026-07-14,paid
TXN10025,LDG20025,ORD5025,3346.11,2026-07-26,paid
TXN10026,LDG20026,ORD5026,1471.42,2026-07-16,paid
TXN10027,LDG20027,ORD5027,3006.01,2026-08-27,paid
TXN10028,LDG20028,ORD5028,1252.74,2026-07-09,paid
TXN10029,LDG20029,ORD5029,3827.75,2026-08-25,paid
TXN10030,LDG20030,ORD5030,3211.74,2026-08-20,paid
TXN10031,LDG20031,ORD5031,504.93,2026-07-25,paid
TXN10032,LDG20032,ORD5032,1406.79,2026-08-05,paid
TXN10033,LDG20033,ORD5033,3659.46,2026-08-13,paid
TXN10034,LDG20034,ORD5034,1832.84,2026-07-19,paid
TXN10035,LDG20035,ORD5035,2377.87,2026-08-16,paid
TXN10036,LDG20036,ORD5036,3857.42,2026-08-02,paid
TXN10037,LDG20037,ORD5037,1632.53,2026-08-10,paid
TXN10038,LDG20038,ORD5038,1994.79,2026-07-11,paid
TXN10039,LDG20039,ORD5039,1755.95,2026-07-02,paid
TXN10040,LDG20040,ORD5040,4417.87,2026-08-23,paid
TXN10041,LDG20041,ORD5041,478.04,2026-08-26,paid
TXN10042,LDG20042,ORD5042,3713.16,2026-08-22,paid
TXN10043,LDG20043,ORD5043,3876.01,2026-07-09,paid
TXN10044,LDG20044,ORD5044,992.61,2026-08-03,paid
TXN10045,LDG20045,ORD5045,4658.78,2026-08-18,paid
TXN10046,LDG20046,ORD5046,1696.24,2026-08-12,paid
TXN10047,LDG20047,ORD5047,4518.15,2026-07-29,paid
TXN10048,LDG20048,ORD5048,1278.55,2026-07-22,paid
TXN10049,LDG20049,ORD5049,2858.82,2026-08-07,paid
TXN10050,LDG20050,ORD5050,540.77,2026-08-10,paid
TXN10051,LDG20051,ORD5051,523.52,2026-07-03,paid
TXN10052,LDG20052,ORD5052,2667.95,2026-07-18,paid
TXN10053,LDG20053,ORD5053,2788.32,2026-08-16,paid
TXN10054,LDG20054,ORD5054,3966.17,2026-08-21,paid
TXN10055,LDG20055,ORD5055,652.76,2026-08-12,paid
TXN10056,LDG20056,ORD5056,2233.18,2026-07-30,paid
TXN10057,LDG20057,ORD5057,3336.59,2026-08-11,paid
TXN10058,LDG20058,ORD5058,2132.58,2026-07-22,paid
TXN10059,LDG20059,ORD5059,1119.63,2026-08-04,paid
TXN10060,LDG20060,ORD5060,2225.03,2026-07-18,paid
TXN10061,LDG20061,ORD5061,4397.53,2026-07-05,paid
TXN10062,LDG20062,ORD5062,669.96,2026-08-11,paid
TXN10063,LDG20063,ORD5063,4646.56,2026-08-24,paid
TXN10064,LDG20064,ORD5064,2150.79,2026-07-31,paid
TXN10065,LDG20065,ORD5065,4531.73,2026-07-11,paid
TXN10066,LDG20066,ORD5066,4929.48,2026-07-17,paid
TXN10067,LDG20067,ORD5067,2230.44,2026-08-16,paid
TXN10068,LDG20068,ORD5068,1111.51,2026-07-14,paid
TXN10069,LDG20069,ORD5069,3731.54,2026-07-04,paid
TXN10070,LDG20070,ORD5070,440.68,2026-07-31,paid
TXN10071,LDG20071,ORD5071,4811.74,2026-07-06,paid
TXN10072,LDG20072,ORD5072,3056.17,2026-08-13,paid
TXN10073,LDG20073,ORD5073,775.46,2026-08-26,paid
TXN10074,LDG20074,ORD5074,3053.69,2026-08-09,paid
TXN10075,LDG20075,ORD5075,3355.39,2026-08-06,paid
TXN10076,LDG20076,ORD5076,1180.44,2026-08-15,paid
TXN10077,LDG20077,ORD5077,1474.95,2026-07-09,paid
TXN10078,LDG20078,ORD5078,1717.65,2026-08-18,paid
TXN10079,LDG20079,ORD5079,2399.77,2026-08-06,paid
TXN10080,LDG20080,ORD5080,2780.65,2026-08-02,paid
TXN10081,LDG20081,ORD5081,4679.65,2026-08-26,paid
TXN10082,LDG20082,ORD5082,1973.73,2026-07-11,paid
TXN10083,LDG20083,ORD5083,3576.99,2026-08-09,paid
TXN10084,LDG20084,ORD5084,4122.1,2026-07-20,paid
TXN10085,LDG20085,ORD5085,1469.44,2026-08-26,paid
TXN10086,LDG20086,ORD5086,2855.47,2026-07-18,paid
TXN10087,LDG20087,ORD5087,1211.02,2026-07-22,paid
TXN10088,LDG20088,ORD5088,3244.34,2026-07-17,paid
TXN10089,LDG20089,ORD5089,4545.62,2026-08-24,paid
TXN10090,LDG20090,ORD5090,3244.57,2026-08-23,paid
TXN10091,LDG20091,ORD5091,217.02,2026-08-19,paid
TXN10092,LDG20092,ORD5092,4903.03,2026-07-11,paid
TXN10093,LDG20093,ORD5093,3587.2,2026-08-05,paid
TXN10094,LDG20094,ORD5094,561.17,2026-08-26,paid
TXN10095,LDG20095,ORD5095,372.94,2026-07-24,paid
TXN10096,LDG20096,ORD5096,811.74,2026-07-20,paid
TXN10097,LDG20097,ORD5097,4514.84,2026-07-14,paid
TXN10098,LDG20098,ORD5098,693.41,2026-08-19,paid
TXN10099,LDG20099,ORD5099,3797.49,2026-08-29,paid
TXN10100,LDG20100,ORD5100,4885.79,2026-08-21,paid
TXN10101,LDG20101,ORD5101,318.97,2026-08-17,paid
TXN10102,LDG20102,ORD5102,4050.73,2026-08-25,paid
TXN10103,LDG20103,ORD5103,964.15,2026-08-14,paid
TXN10104,LDG20104,ORD5104,4386.4,2026-08-24,paid
TXN10105,LDG20105,ORD5105,1157.95,2026-08-28,paid
TXN10106,LDG20106,ORD5106,1664.92,2026-08-20,paid
TXN10107,LDG20107,ORD5107,313.59,2026-07-13,paid
TXN10108,LDG20108,ORD5108,1537.29,2026-07-05,paid
TXN10109,LDG20109,ORD5109,3279.11,2026-07-26,paid
TXN10110,LDG20110,ORD5110,753.64,2026-07-17,paid
TXN10111,LDG20111,ORD5111,4820.16,2026-07-17,paid
TXN10112,LDG20112,ORD5112,3063.54,2026-07-23,paid
TXN10113,LDG20113,ORD5113,3109.8,2026-08-02,paid
TXN10114,LDG20114,ORD5114,4517.62,2026-07-13,paid
TXN10115,LDG20115,ORD5115,3602.17,2026-07-01,paid
TXN10116,LDG20116,ORD5116,2270.23,2026-08-30,paid
TXN10117,LDG20117,ORD5117,1706.8,2026-08-24,paid
TXN10118,LDG20118,ORD5118,4520.22,2026-08-02,paid
TXN10119,LDG20119,ORD5119,2160.29,2026-07-26,paid
TXN10120,LDG20120,ORD5120,810.98,2026-07-27,paid
TXN10121,LDG20121,ORD5121,3791.05,2026-07-12,paid
TXN10122,LDG20122,ORD5122,2830.1,2026-07-01,paid
TXN10123,LDG20123,ORD5123,1208.88,2026-08-20,paid
TXN10124,LDG20124,ORD5124,2320.57,2026-08-13,paid
TXN10125,LDG20125,ORD5125,2471.29,2026-08-27,paid
TXN10126,LDG20126,ORD5126,607.02,2026-08-02,paid
TXN10127,LDG20127,ORD5127,4128.43,2026-08-18,paid
TXN10128,LDG20128,ORD5128,1690.01,2026-08-21,paid
TXN10129,LDG20129,ORD5129,317.24,2026-07-16,paid
TXN10130,LDG20130,ORD5130,4278.74,2026-07-05,paid
TXN10131,LDG20131,ORD5131,4453.46,2026-08-06,paid
TXN10132,LDG20132,ORD5132,3542.5,2026-08-01,paid
TXN10133,LDG20133,ORD5133,908.34,2026-08-14,paid
TXN10134,LDG20134,ORD5134,3936.42,2026-07-15,paid
TXN10135,LDG20135,ORD5135,2686.2,2026-07-04,paid
TXN10136,LDG20136,ORD5136,2391.02,2026-08-21,paid
TXN10137,LDG20137,ORD5137,2749.43,2026-08-05,paid
TXN10138,LDG20138,ORD5138,3140.73,2026-08-16,paid
TXN10139,LDG20139,ORD5139,2340.39,2026-07-11,paid
TXN10140,LDG20140,ORD5140,1444.12,2026-07-16,paid
TXN10141,LDG20141,ORD5141,2526.07,2026-07-16,paid
TXN10142,LDG20142,ORD5142,571.92,2026-07-19,paid
TXN10143,LDG20143,ORD5143,1812.07,2026-08-27,paid
TXN10144,LDG20144,ORD5144,923.99,2026-07-25,paid
TXN10145,LDG20145,ORD5145,1226.97,2026-07-27,paid
TXN10146,LDG20146,ORD5146,2804.53,2026-07-27,paid
TXN10147,LDG20147,ORD5147,4197.88,2026-07-25,paid
TXN10148,LDG20148,ORD5148,2025.83,2026-07-01,paid
TXN10149,LDG20149,ORD5149,3816.68,2026-08-24,paid
TXN10150,LDG20150,ORD5150,3788.08,2026-08-04,paid
TXN10151,LDG20151,ORD5151,1253.22,2026-07-28,paid
TXN10152,LDG20152,ORD5152,2066.51,2026-08-12,paid
TXN10153,LDG20153,ORD5153,992.21,2026-07-30,paid
TXN10154,LDG20154,ORD5154,2763.79,2026-08-28,paid
TXN10155,LDG20155,ORD5155,2909.08,2026-07-02,paid
TXN10156,LDG20156,ORD5156,2257.34,2026-08-25,paid
TXN10157,LDG20157,ORD5157,441.37,2026-07-25,paid
TXN10158,LDG20158,ORD5158,2382.56,2026-07-22,paid
TXN10159,LDG20159,ORD5159,3809.65,2026-08-23,paid
TXN10160,LDG20160,ORD5160,4207.57,2026-07-31,paid
TXN10012,LDG20012,ORD5012,2405.24,2026-07-08,paid
TXN10031,LDG20031,ORD5031,504.93,2026-07-25,paid
TXN10035,LDG20035,ORD5035,2377.87,2026-08-16,paid
TXN10037,LDG20037,ORD5037,1632.53,2026-08-10,paid
TXN10040,LDG20040,ORD5040,4417.87,2026-08-23,paid
TXN10057,LDG20057,ORD5057,3336.59,2026-08-11,paid
TXN10072,LDG20072,ORD5072,3056.17,2026-08-13,paid
TXN10074,LDG20074,ORD5074,3053.69,2026-08-09,paid
TXN10075,LDG20075,ORD5075,3355.39,2026-08-06,paid
TXN10145,LDG20145,ORD5145,1226.97,2026-07-27,paid
TXN10157,LDG20157,ORD5157,441.37,2026-07-25,paid
TXN10158,LDG20158,ORD5158,2382.56,2026-07-22,paid
TXN10161,LDG20161,ORD5161,2139.09,2026-07-13,refunded
TXN10162,LDG20162,ORD5162,839.57,2026-07-06,refunded
TXN10163,LDG20163,ORD5163,3562.34,2026-07-06,refunded
TXN10164,LDG20164,ORD5164,3024.35,2026-08-20,refunded
TXN10165,LDG20165,ORD5165,930.93,2026-08-12,refunded
TXN10166,LDG20166,ORD5166,3640.06,2026-08-13,refunded
TXN10167,LDG20167,ORD5167,1493.12,2026-07-01,refunded
TXN10168,LDG20168,ORD5168,2764.69,2026-07-30,refunded
