transaction_id,settlement_amount,fee,tax,settlement_date,expected_settlement_date,status
TXN10001,3192.09,65.39,11.77,2026-07-04,2026-07-04,settled
TXN10002,1241.4,25.43,4.58,2026-08-18,2026-08-19,settled
TXN10003,3666.59,75.1,13.52,2026-08-05,2026-08-06,settled
TXN10004,2172.71,44.5,8.01,2026-07-03,2026-07-04,settled
TXN10005,1285.69,26.34,4.74,2026-08-09,2026-08-10,settled
TXN10006,1127.17,23.09,4.16,2026-08-13,2026-08-13,settled
TXN10007,2300.6,47.12,8.48,2026-07-19,2026-07-20,settled
TXN10008,3467.27,71.02,12.78,2026-07-24,2026-07-24,settled
TXN10009,1204.4,24.67,4.44,2026-08-20,2026-08-20,settled
TXN10010,629.96,12.9,2.32,2026-07-09,2026-07-09,settled
TXN10011,3024.77,61.96,11.15,2026-08-22,2026-08-23,settled
TXN10012,2348.48,48.1,8.66,2026-07-10,2026-07-10,settled
TXN10013,2782.54,57.0,10.26,2026-08-25,2026-08-25,settled
TXN10014,1096.49,22.46,4.04,2026-07-06,2026-07-07,settled
TXN10015,1263.37,25.88,4.66,2026-07-20,2026-07-21,settled
TXN10016,4256.25,87.18,15.69,2026-07-27,2026-07-27,settled
TXN10017,3174.55,65.03,11.71,2026-07-25,2026-07-26,settled
TXN10018,1860.33,38.11,6.86,2026-08-14,2026-08-14,settled
TXN10019,4585.11,93.92,16.91,2026-08-12,2026-08-13,settled
TXN10020,3171.25,64.96,11.69,2026-08-05,2026-08-06,settled
TXN10021,2361.76,48.38,8.71,2026-07-19,2026-07-20,settled
TXN10022,1715.11,35.13,6.32,2026-08-20,2026-08-21,settled
TXN10023,4046.84,82.89,14.92,2026-08-23,2026-08-23,settled
TXN10024,1450.11,29.7,5.35,2026-07-16,2026-07-16,settled
TXN10025,3267.14,66.92,12.05,2026-07-28,2026-07-28,settled
TXN10026,1436.69,29.43,5.3,2026-07-18,2026-07-18,settled
TXN10027,2935.07,60.12,10.82,2026-08-29,2026-08-29,settled
TXN10028,1223.18,25.05,4.51,2026-07-11,2026-07-11,settled
TXN10029,3737.41,76.56,13.78,2026-08-26,2026-08-27,settled
TXN10030,3135.95,64.23,11.56,2026-08-22,2026-08-22,settled
TXN10031,493.01,10.1,1.82,2026-07-27,2026-07-27,settled
TXN10032,1373.58,28.14,5.07,2026-08-06,2026-08-07,settled
TXN10033,3573.1,73.19,13.17,2026-08-15,2026-08-15,settled
TXN10034,1789.58,36.66,6.6,2026-07-21,2026-07-21,settled
TXN10035,2321.75,47.56,8.56,2026-08-18,2026-08-18,settled
